arabic,english
نحن لا نعرف عنه شيئاً.,We don't know anything about him.
شعت بسمتها بالفرح.,Her smile expressed joy.
لا شك بأنها جميلة.,There is no doubt as to her beauty.
لا يمكنني تحمل تكاليف السفر للعطلة.,I cannot afford a long vacation.
هل أنهيت واجبك بهذه السرعة؟,Have you finished your homework already?
لديه سيارة بأربعة أبواب.,He has a car that has four doors.
لا تحكم على الآخرين بناء على لون بشرتهم.,Don't judge each other by the color of the skin.
لا تحكم على الآخرين بناء على لون بشرتهم.,Don't judge others based on the color of their skin.
إنه قلق بسبب مرض والده.,He is concerned about his father's illness.
الكلب صديق الإنسان الوفي.,A dog is a man's best friend.
الكلب صديق وفي للإنسان.,A dog is a man's best friend.
إذا لم يكن لديك أولاد بإمكانك دائماً أن تتبنى.,"If you can't have children, you could always adopt."
هذا هو منزله.,That is his house.
آه! لو كنت غنياً لاشتريت لنفسي بيتاً في إسبانيا.,"Ah! If I were rich, I'd buy myself a house in Spain."
بيتك يحتاج لإصلاح.,Your house needs repairing.
بيتك أكبر من بيتي ثلاث مرات.,Your house is three times as large as mine.
منزلك أكبر من منزلي بثلاث مرات.,Your house is three times as large as mine.
أتمنى لو أعيش قريباً من منزلك.,I wish I could live near your house.
كم غرفة في بيتك؟,How many rooms are there in your house?
كم تبعد الحديقة عن منزلك؟,How far is it from your house to the park?
كم تبعد الحديقة عن منزلك؟,How far is the garden from your house?
من فضلك إخلع حذاءك قبل أن تدخل البيت.,Please remove your shoes before entering the house.
سُرق منزلنا عندما كنا مسافرين.,Our house was robbed while we were away.
بدت البيوت و السيارات صغيرة من علو الطائرة.,The houses and cars looked tiny from the sky.
بدت المنازل و السيارات صغيرة من بين السحاب.,The houses and cars looked tiny from the sky.
اندلع حريق قرب منزلي.,A fire broke out near my house.
اشترى لها فستاناً.,He bought a dress for her.
تعال معي.,Come along with me.
الطيران أسرع وسيلة سفر.,Flying is the quickest method of travelling.
بإمكانه أن يصبح بطلاً للعالم.,He is a potential world champion.
لقد كبرت!,How you've grown!
كنت في لندن معظم الصيف.,I was in London most of the summer.
ماتت ليز منذ ثماني سنوات.,Liz has been dead for eight years.
بالرغم من أنني أحسست بأن هناك شيئاً غريباً ، لم أعرف بالتحديد ما هو.,"Even though I felt that there was something strange, I just didn't know what it was."
أي طالب بإمكانه حل هذه المسألة.,Any student can solve this problem.
كنت متعباً فخلدت إلى النوم باكراً.,"Being very tired, I went to bed early."
عليّ الذهاب إلى النوم.,I have to go to sleep.
عليّ الذهاب إلى النوم.,I have to go to bed.
عليّ أن أخلد إلى النوم.,I have to go to bed.
على أي سرير تريد أن تنام؟,Which bed do you want to use?
على أي سرير تريد أن تنام؟,On which bed would you like to sleep?
متى تنام؟,What time do you usually go to bed?
أي ساعة تنام؟,What time do you usually go to bed?
النباتات البحرية تنمو في قاع البحر.,Marine plants grow on the sea bed.
هل اشتريت ذلك من السوق السوداء؟,Did you buy it on the black market?
كيف الأحوال في سوق السمك؟,How is it going in the fish market?
انخفضت الأسعار في سوق الأسهم اليوم.,The stock market has dropped today.
سوق الأسهم يشهد نشاطاً زائداً.,The stock market is very active.
امتلأ قلبي فرحاً.,My heart was filled with happiness.
امتلأ قلبي بالسعادة.,My heart was filled with happiness.
حفظ الطلبة الكثير من القصائد.,The students learned many poems by heart.
حفظ الطلبة هذه القصيدة.,The students learned this poem by heart.
حفظ التلاميذ هذه القصيدة عن ظهر قلب.,The students learned this poem by heart.
مستوى التعليم في العالم مخيب للآمال.,Education in this world disappoints me.
كان من الغباء مني أن أقترف خطأً كهذا.,It was stupid of me to make such a mistake.
أيمكنني مساعدتك؟,Can I help you?
أيمكنني مساعدتك؟,May I help you?
كيف لي أن أساعدك؟,Can I help you?
أريد فنجاناً من الشاي.,I want a cup of tea.
لا أغسل شعري بالصابون في الصباح.,I don't shampoo my hair in the morning.
وعد بأن يتزوجها.,He promised to marry her.
هم في نفس السن.,They are the same age.
أحتاج طابعاً بريدياً.,I need to get a stamp.
علينا مغادرة الفندق قبل الساعة العاشرة صباحاً و إلا لن نلحق بالقطار المتجه إلى ميامي.,"We must leave the hotel before 10 a.m., otherwise we will miss the train for Miami."
لكم أريد الحصول على كاميرا مثل تلك!,I would like to get a camera like this.
بصراحة لا أوافقك الرأي.,"Frankly speaking, I don't agree with you."
هدفي أن أصبح طبيباً.,My aim is to be a doctor.
حلمي أن أكون طبيباً.,My aim is to be a doctor.
هل لعبت كرة القاعدة في حياتك؟,Have you ever played baseball?
هل جربت أن تلعب كرة القاعدة من قبل؟,Have you ever played baseball?
هل جربت أن تلعب كرة القاعدة من قبل؟,Have you tried to play baseball before?
قطة؟ تساءل الرجل العجوز.,Cat? the old man wondered.
اسمي جاك.,My name is Jack.
أُدعى جاك.,My name is Jack.
لا أعرف متى جاء بوب إلى اليابان.,I don't know when Bob came to Japan.
عليك أن لا تركض داخل مبنى المدرسة.,You must not run in the school buildings.
عليك ألّا تركض داخل مبنى المدرسة.,You must not run in the school buildings.
يبدأ الأطفال بالذهاب إلى المدرسة في سن السادسة.,Children begin school at the age of six.
سأبقى هناك حتى الساعة السادسة.,I'll stay there till six o'clock.
أعمل منذ السادسة صباحاً.,I have been working since six this morning.
خلق الله الأرض في ستة أيام.,God created the world in six days.
كم ساعة نوم تحتاج؟,How many hours of sleep do you need?
إلى كم ساعة من النوم تحتاج؟,How many hours of sleep do you need?
أقرأ على الأقل كتاباً واحداً في الشهر.,I read at least one book every month.
أصل هذه الكلمة يوناني.,This word comes from Greek.
اِشتريت زجاجتَي حليب.,I bought two bottles of milk.
دائماً يتأخر عن المدرسة.,He is always late for school.
عليّ أن أختار بين الذهاب معه أو البقاء هنا وحدي.,I had to choose going with him or staying here alone.
بنوا سياجاً حول المزرعة.,They built a fence around the farm.
قرر أن يبقي خطته سراً.,He made up his mind to keep his plan secret.
شكراً لك. من فضلك قم بزيارتنا مرة أخرى.,"Thanks, please come again."
شكراً ، من فضلك أعد الزيارة.,"Thanks, please come again."
زار كِن إنجلترا من قبل.,Ken has been to England before.
يلعب كِن كرة القدم كل يوم.,Ken plays soccer every day.
ديانا أختك غير الشقيقة كذلك.,"Diane is your half sister, too."
يا إلهي ، مبتدئ هزمني في اللعبة!,omg a n00b pwned me!
هل تدري متى سيصل عازف الموسيقى إلى هنا؟,Do you know when the musician will come here?
هناك القليل من التفاح على الشجرة ، أليس كذلك؟,"There are a few apples on the tree, aren't there?"
أيمكنك أن تحزر ما لديّ؟,Can you guess what I have?
أستحم كل يوم تقريباً.,I take a bath almost every day.
هذا لطف منك.,That's very sweet of you.
سأخفف من أكل الحلويات.,I'm cutting down on sweets.
كثيراً ما يقال أن الحلويات مضرة بالأسنان.,It is often said that sweets are bad for your teeth.
أحلاماً سعيدة!,Sweet dreams!
لدى بتي صوت رقيق.,Betty has a sweet voice.
صوت بتي جميل.,Betty has a sweet voice.
صوت الكمان جميل جداً.,The sound of the violin is very sweet.
في كندا لا يمكنك شرب الكحول حتى تبلغ سن العشرين.,"In Canada, you're not allowed to drink until you are 20."
أهلاً ، هل تعمل هنا؟,Hi! Do you work here?
المحل مغلق يوم الأحد.,The shop is closed on Sunday.
أخبرتني أنها تريد كلباً أليفاً.,She told me that she wanted a pet dog.
هوايتها الوحيدة هي جمع الطوابع.,Her only hobby is collecting stamps.
هذا القانون سيحرمنا من حقوقنا الأساسية.,This law will deprive us of our basic rights.
لم أفهم الطرفة التي قصها علينا.,I couldn't catch on to the joke he told us.
لم ترن ساعتي المنبهة هذا الصباح.,My alarm clock didn't go off this morning.
أضعت الساعة التي أعطاني إياها والدي.,I lost the watch Father had given me.
لديها رجلان طويلتان.,She has long feet.
قدماها طويلتان.,She has long feet.
أشعر بما تمر به.,I feel for you.
عوقب على كذبه.,"Because he lied, he was punished."
قُبض عليه و هو يغش في الإمتحان.,He was caught cheating in the exam.
أسرع و لن تتأخر على المدرسة.,"Hurry up, and you will be in time for school."
هل لعبت التنس البارحة؟,Did you play tennis yesterday?
هل تعتقد أنه مات؟,Do you think he is dead?
لا يمكن إنكار الحقائق.,The fact cannot be denied.
بقي صامتاً طوال الوقت.,He was silent all the time.
هل تعرف ما الذي حصل؟,Do you know what happened?
لا تشع الشمس على هذه الغرفة كثيراً.,This room does not get much sun.
نظف زجاج النافذة بقطعة قماش مبلولة.,Clean the window with a damp cloth.
من فضلك اتركني وحدي.,Please leave me alone.
لا تقلق!,Don't worry about it!
إنها صعبة في البداية.,"At first, it is difficult."
لقد فازوا.,They did win.
وصلنا إلى لندن عند منتصف الليل.,We reached London at midnight.
تتكلم كأنها تعرف كل شيء عنه.,She talks as if she knew everything about it.
هل اشتريت الكتاب؟,Did you buy this book?
هل طلبت الكتاب؟,Did you order the book?
أعتقد أنه سيصبح غنياً يوماً ما.,I believe he is going to be rich one day.
ما زالت الحشرة حية.,The bug is still alive.
هذه المشكلة صعبة الحل.,The problem is too difficult to solve.
مايك هو قائد الفريق.,Mike is captain of our team.
مايك هو قائد الفريق.,Mike is the team's captain.
أعد الكتاب في أقرب فرصة ممكنة.,Return this book as soon as you can.
فرحت بالخبر.,I was delighted with the news.
متى بدأت لعب الجولف؟,When did you begin playing golf?
سام ، ما الذي تفعله؟,"Sam, what are you doing?"
سام ، ماذا تفعل؟,"Sam, what are you doing?"
وقعت في نفس الخطأ مرة أخرى.,You have made the very same mistake again.
إذا كنت مكانك لفعلت نفس الشيء.,"If I were in your situation, I would do the same thing."
أنا و أنت في نفس العمر.,You and I are the same age.
هل أنت طالب في الثانوية؟,Are you a senior high school student?
افتُتحت المستشفى الشهر الماضي.,The hospital opened last month.
افتُتحت المستشفى الشهر الماضي.,The hospital had a grand opening last month.
افتُتحت المستشفى الشهر الماضي.,I had a grand opening for the hospital last month.
أكملت حديثها.,She continued her talk.
طلب مني المساعدة.,He asked me for help.
تعبت من الرقود في السرير طوال اليوم.,I got tired of lying in bed all day.
رفضت عرضي.,She turned down my proposal.
الأسعار غالية هذه الأيام.,Prices are high these days.
لا يمكن معالجته كلياً.,It cannot be completely cured.
تأخر عن الموعد بسبب حادث سير.,His delay in coming here is due to a traffic accident.
تأخر عن الموعد بسبب حادث سير.,He was late to the appointment due to a traffic accident.
السيد إيتو رجل متعلم.,Mr Ito is a highly educated man.
و أخيراً أنهيت دراسة المرحلة الإعدادية.,"At last, I graduated from junior high school."
مبروك.,Congratulations!
مرحباً يا ميمي! كيف حالك؟,"Hi, Mimi! How are you doing?"
وضع الملح في فنجان قهوته بالخطأ.,He put salt into his cup of coffee by mistake.
متى ذهبت إلى هناك؟,When did you go there?
لا يمكنني نسيان معروفه.,I cannot forget his kindness.
كيف أنسى لطفه معي.,I cannot forget his kindness.
تشرب كايت الكثير من الحليب كل يوم.,Kate drinks a lot of milk every day.
وضع يديه على كتفي.,He rested his hand on my shoulder.
أصل هذه الكلمة فرنسي كذلك.,This word is also French in origin.
هل قرأت جريدة اليوم بعد؟,Have you read today's paper yet?
الصين غنية بالموارد الطبيعية.,China is rich in natural resources.
مات من دون أن يترك وصية.,He died without having made a will.
هل لي أن أُلقي نظرة على جواز سفرك؟,May I look at your passport?
تعطلت السيارة فعليهم أن يمشوا.,"The car broke down, so they had to walk."
سيقودك هذا الطريق إلى المحطة.,This road leads you to the station.
يؤدي هذا الطريق إلى المحطة.,This road leads you to the station.
تعافيت من المرض كلياً.,I have completely got over the disease.
لديها ابنة تعزف على البيانو.,She has a daughter who is a pianist.
ما الفرق بين هذا و ذاك؟,What is the difference between this and that?
رأيته يلعب كرة القاعدة.,I saw him playing baseball.
لغته الفرنسية ضعيفة.,His knowledge of French is poor.
ذلك سيُهيّج الجرح.,It will aggravate the wound.
لن يستطيع أن يدرس من شدة التعب.,He is too tired to study.
من صنع رجل الثلج ذاك؟,Who built the snowman?
كان هناك قلعة على هذا التل.,There used to be a small castle on this hill.
كان هناك حصن على تلك الهضبة في يوم من الأيام.,There used to be a small castle on this hill.
وصل إلى لندن البارحة.,He got to London yesterday.
ما زلت لست متأكداً من الذهاب.,I'm still hesitating whether to go there or not.
أرهقت نفسي بالمشي لمسافة طويلة.,I exhausted myself by walking a long distance.
علينا الإتصال بالشرطة حالاً.,We must contact the police at once.
أُلغيت المباراة بسبب تغير الجو.,"Thanks to the bad weather, the game was canceled."
ربطة عنقك تليق ببزتك.,Your tie blends well with your suit.
ربطة عنقك تليق ببزتك.,Your necktie matches your suit.
تأخرنا على المدرسة بسبب المطر الغزير.,We were late for school because it rained heavily.
يعمل جون بجدّ.,John works hard.
تذهب مايوكو إلى المدرسة على الدراجة.,Mayuko goes to school by bicycle.
هل لك أن تمرر لي الملح من فضلك؟,Would you pass me the salt?
من أثقل بِن أم مايك؟,"Who is heavier, Ben or Mike?"
توم و بيل يلعبان التنس كلاهما الآن.,Both Tom and Bill are playing tennis now.
ما الذي حصل لأختك؟,What has become of your sister?
ما حال أختك الآن؟,What has become of your sister?
لا يمكنني مساعدتك أكثر من ذلك.,Beyond that I cannot help you.
لمَ لا يمكنك المجيء؟,Why can't you come?
لماذا لا يمكنك القدوم؟,Why can't you come?
أين الغسيل؟,Where is the laundry?
أين الملابس التي تحتاج إلى غسل؟,Where is the laundry?
يبدو المعطف الأحمر جميلاً عليك.,That red sweater looks good on you.
أسرع و إلا ستتأخر عن المدرسة.,"Hurry up, or you'll be late for school."
أمضى الجميع سنة طيبة.,Everybody had a good year.
إذا كنت غنياً لما أعطيته فلساً.,"Even if I were rich, I wouldn't give money to him."
من الأفضل لك ألّا تأكل كثيراً.,You had better not eat too much.
من الأفضل أن لا تُكثر من الأكل.,You had better not eat too much.
أجب على السؤال.,Answer the question.
شكراً لك!,Thank you!
اليوم الإثنين.,It's Monday.
لماذا أتيت إلى اليابان؟,Why did you come to Japan?
لم أسمع ما قلته.,I didn't hear what you said.
هل أُخذت هذه الصورة حديثاً؟,Is it a recent picture?
هل أُخذت هذه الصورة حديثاً؟,Is this a recent photo?
إنني لا أحاول أن أسلبك حقوقك.,I'm not trying to deprive you of your rights.
أنا لا أحاول سلب حقوقك.,I'm not trying to deprive you of your rights.
اتصلت مينج بصديقها ليلة البارحة.,Ming called her friend yesterday evening.
ما الذي يقلقك؟,What are you concerned about?
أسكن في أوساكا.,I stay in Osaka.
لم يرك أحد منذ أربع سنوات.,We haven't seen you in the past four years.
لم نرك منذ أربع سنين.,We haven't seen you in the past four years.
لا تبعد المحطة كثيراً عن هنا.,The station is not far from here.
أتذكر أني رأيتها مرة على الطريق.,I remember seeing her once on the street.
أذكر أني لمحتها مرة على الطريق.,I remember seeing her once on the street.
هذا الفيلم للكبار فقط.,Only adults may watch that film.
الكبار فقط بإمكانهم مشاهدة ذاك الفلم.,Only adults may watch that film.
لا يمكنني السماح لك بفعل ذلك.,I can't allow you to do that.
بعد البرق جاء الرعد.,"After the lightning, came the thunder."
يجب إبقاء هذا الدرس في الحسبان.,This lesson should be kept in mind.
كان الفلم جديراً بالإهتمام كما توقعت.,"The movie was interesting, as I had expected."
كان الفلم شيقاً كما تخيلت أن يكون.,"The movie was interesting, as I had expected."
كان الفلم مثيراً للإهتمام كما توقعت.,"The movie was interesting, as I had expected."
كنت أقرأ رواية حينها.,I was reading a novel then.
كم ولداً موجود في هذا الصف؟,How many boys are there in this class?
جون ليس أخي ، بل ابن عمي.,"John is not my brother, but my cousin."
الكلب يحتضر.,The dog is dying.
فُتح الباب.,The door opened.
أضمن لك أنّ هذه المعلومات صحيحة.,I guarantee that this information is correct.
أؤكد لك صحة هذه المعلومات.,I guarantee that this information is correct.
غطت أشعة الشمس التلال.,The hills are bathed in sunlight.
التعليم تعلم.,Teaching is learning.
متى تنتهي؟,When does it end?
متى ينتهي ذلك؟,When does it end?
ما إنطباعك عن أمريكا؟,What's your impression of the United States?
سترى الفرق.,You will see the difference.
ذلك سبب انفعاله.,That is why he got angry.
لهذا غضب.,That is why he got angry.
هذا سبب غضبه.,That is why he got angry.
من فضلك إخلع قبعتك.,Please take off your hat.
سأساعدك إن أمكن.,I'll help you if possible.
بكى الطفل حتى نام.,The baby wept to sleep.
بكى المولود إلى أن نام.,The baby wept to sleep.
لا أعرف ماذا أقول.,I'm at a loss for words.
لا أعرف ماذا أقول.,I just don't know what to say.
لا أعرف ماذا أقول.,I don't know what to say.
من فضلك أرسلها عن طريق الفاكس.,Please send it to me by fax.
ليس من السهل حل المشكلة.,It is not easy to solve the problem.
هذه الإسورة أغلى من تلك.,This bracelet is more expensive than that one.
من رئيس هذه الشركة؟,Who is the boss of this company?
من يرأس هذه الشركة؟,Who is the boss of this company?
تحدث إليّ الرجل العجوز بالفرنسية.,The old man spoke to me in French.
إذا أمطرت غداً سأبقى في المنزل.,"If it rains tomorrow, I'll stay at home."
قاست أمي حرارتي.,My mother took my temperature.
قامت أمي بقياس حرارة جسدي.,My mother took my temperature.
يبدو أنه كان غنياً.,He seems to have been rich.
يبدو عليه أنه كان غنياً في يوم من الأيام.,He seems to have been rich.
هذه نقطة مهمة جداً.,This is an extremely important point.
هذه ملحوظة مهمة للغاية.,This is an extremely important point.
هذه ملاحظة في غاية الأهمية.,This is an extremely important point.
لا يمكنني احتمال الضجيج أكثر من ذلك.,I can't bear the noise any longer.
لا أستطيع أن أحتمل ذلك الصوت المزعج أكثر من ذلك.,I can't bear the noise any longer.
سُرقت نقودي.,I had my money stolen.
سُرق مالي.,I had my money stolen.
كان هناك حادث سيارة بالأمس.,There was a car accident yesterday.
حصل حادث سير البارحة.,There was a car accident yesterday.
تكلم الرجل بصوت خافت.,The man spoke in a low voice.
تحدث الرجل بصوت منخفض.,The man spoke in a low voice.
لنعُد إلى البيت.,Let us go home.
هيا لنرجع إلى المنزل.,Let us go home.
لماذا رفضت عرضه؟,Why did you turn down his offer?
هل هي طبيبة؟,Is she a doctor?
أهي طبيبة؟,Is she a doctor?
لا تعتمد على الآخرين كثيراً.,Don't rely too much on others.
مررت بكلب في طريقي إلى البيت.,I met a dog on my way home.
أدرس اللغة الإنجليزية.,I'm studying English.
انظر إلى تلك الغيوم السوداء.,Look at those black clouds.
هل المدرسة بعيدة عن منزلك؟,Is your school far from your home?
هذا الكتاب سيفي بالغرض.,This book will do.
أنت طويل و لكنه أطول.,"You are tall, but he is still taller."
آمل أن أحصل على نسختين من هذا الكتاب.,I am hoping to get two copies of this book.
أُعطيت معطفاً جديداً.,I was given a new jacket.
كثيراً ما ألعب معه التنس.,I would often play tennis with him.
لماذا هو غاضب بسبب شيء مثل ذلك؟,Why is he angry about something like that?
لمَ هو غاضب على شيء مثل هذا؟,Why is he angry about something like that?
الكلمات لا يمكنها أن تعبر عن شكري لك.,I have no words to express my gratitude.
الكلمات لا يمكنها التعبير عن شكري بما يكفي.,I have no words to express my gratitude.
هل تمانع أن أدخن هنا؟,Do you mind if I smoke here?
هل تمانع أن أدخن هنا؟,Are you preventing me from smoking here?
أطفأ التلفاز. لا يمكنني التركيز.,Turn off the television. I can't concentrate.
هل كنت متعباً ليلة البارحة؟,Were you tired last night?
هيا لنبدأ اللعب الآن.,Now let's begin the game.
هل تصدق أن الأشباح موجودة؟,Do you believe ghosts exist?
هل تؤمن بوجود الأشباح؟,Do you believe in the existence of ghosts?
أتعتقد أن هناك أشباح؟,Do you believe there are ghosts?
للأرنب أذنان طويلتان.,A rabbit has long ears.
الأرنب لديه أذنان طويلتان.,A rabbit has long ears.
إجلس مستقيماً.,Sit up straight.
اقعد مستقيم الظهر.,Sit up straight.
هل تسبح بسرعة أيضاً؟,"Do you swim very fast, too?"
بالكاد لم يصدّقها أحد.,Almost no one believed her.
لم يصدقها أحد البتّة.,Almost no one believed her.
كان عليك فعل ذلك.,You should have done so.
إسمع جيداً.,Listen carefully.
من فضلك أطفأ التلفاز.,Please turn off the television.
لا أعلم متى سأعود بالتحديد.,I don't know exactly when I will be back.
شكراً جزيلاً لك يا دكتور.,"Thank you very much, doctor."
شكراً جزيلاً لك أيها الطبيب.,"Thank you very much, doctor."
متى وصلت إلى لندن؟,When did you get to London?
كان هناك حوالي عشرين دولاراً.,It was about twenty dollars.
كان هناك الكثير من الناس في الغرفة.,There were a lot of people in the room.
أحدهما ياباني و الآخر إيطالي.,One is Japanese and the other is Italian.
قابلت رجلاً عجوزاً قرب المحطة.,I met an old man near the station.
نصحتْه ألّا يأكل كثيراً.,She advised him not to eat too much.
استمرت الحرب قرابة السنتين.,The war lasted two years.
يا له من كلب كبير.,What a big dog it is!
يبدو مريباً.,He looks suspicious.
يبدو كأنه شخص مثير للشك.,He looks suspicious.
دائماً ما أراه ضاحكاً.,He is always laughing.
إنه دائم الضحك.,He is always laughing.
إنه عبقري.,He is a genius.
إنه ذكي جداً.,He is a genius.
أمضت طفولة سعيدة.,She had a happy childhood.
إنها تعيش حياة مريحة.,She lives in comfort.
إنها تعيش في راحة.,She lives in comfort.
يبدو من منظر السماء أنها من الممكن أن تمطر اليوم بعد الظهر.,"Judging from the look of the sky, it may rain this afternoon."
هذا الدواء سيخفف من صداعك.,This medicine will relieve your headache.
من شأن هذا الدواء أن يخفف من شأن حدة صداع رأسك.,This medicine will relieve your headache.
سأقوم بذلك شرط أن تساندني.,I will do it on condition that you support me.
سيسعدني مساعدتك أي وقت تحب.,I will be glad to help you anytime.
سيسعدني أن أساعدك في أي وقت.,I will be glad to help you anytime.
عندما عدت إلى المنزل ، اكتشفت أني أضعت محفظتي.,"When I got home, I found I had lost my wallet."
كيف تعرفت عليها؟,How did you get to know her?
لنجرب فعل شيءٍ ما.,Let's try something.
عيد ميلاد سعيد ميوريل!,"Happy birthday, Muiriel!"
عمر ميوريل عشرون عاماً الآن.,Muiriel is 20 now.
سيكلفك ذلك ثلاثين يورو.,This will cost €30.
الحساب ثلاثون يورو.,This will cost €30.
اشتقت إليك.,I miss you.
افتقدتك.,I miss you.
من الأفضل لك أن تنام.,You should sleep.
أنا ذاهب.,I'm going to go.
أنا ذاهب.,I am going.
سأذهب الآن.,I'm going to go.
لم أحب مادة الأحياء قط.,I never liked biology.
لم أحب مادة الأحياء أبداً.,I never liked biology.
للأسف ذلك صحيح.,It is unfortunately true.
مع الأسف إن ذلك صحيح.,It is unfortunately true.
أخذت الكلمة من فمي!,That's MY line!
هذا ما كنت سأقوله!,That's MY line!
إنه يركلني!,He's kicking me!
هل أنت متأكد؟,Are you sure?
أأنت متأكد من ذلك؟,Are you sure?
آه ، هناك فراشة!,"Oh, there's a butterfly!"
أسرع!,Faster!
لم يفاجئني ذلك.,It doesn't surprise me.
أنا بدين جداً.,I'm so fat.
أنا شديد البدانة.,I'm so fat.
و ماذا لو حصل ذلك؟,So what?
سأطلق عليه النار.,I'm gonna shoot him.
كنت أقول فحسب!,I'm just saying!
لم أقصد شيئاً!,I'm just saying!
لماذا تسأل؟,Why do you ask?
ذلك مثير للإهتمام.,That is intriguing.
إن ذلك ليس مهماً.,This is not important.
هذا ليس مهماً.,This is not important.
ليس ذلك بالشيء المهم.,This is not important.
لم أحبه.,I didn't like it.
لم يعجبني ذلك.,I didn't like it.
يمكنك أن تفعلها!,You can do it.
تشجع!,You can do it.
لم يكن ذلك قصدي.,That wasn't my intention.
شكراً على الشرح.,Thanks for your explanation.
أشكرك لشرحك لي ذلك.,Thanks for your explanation.
أشكرك لأنك وضّحت لي ذلك.,Thanks for your explanation.
نظرياً ، ما أقوم به متعلق بالرياضيات.,"Theoretically, I'm doing math."
بماذا أجبت؟,What did you answer?
ماذا أجبته؟,What did you answer?
لا يسعني إلا الإنتظار.,I can only wait.
لا يمكنني إلا الإنتظار فحسب.,I can only wait.
أود أن أعرف.,I am curious.
أود أن أعرف.,I want to know.
أكره مادة الكيمياء.,I hate chemistry.
لا تستهن بقوتي.,Don't underestimate my power.
و هنا تكمن المشكلة.,Therein lies the problem.
هنا المشكلة.,Therein lies the problem.
لست سريعاً بما يكفي.,You're not fast enough.
أحياناً يكون الصبر لا يُطاق.,Bearing can be unbearable.
هذه نكتة.,This is a pun.
لا يفهمني أحد.,Nobody understands me.
لا يمكن أن يحصل ذلك!,It can't be!
قال: ثق بي.,"Trust me, he said."
من فضلك لا تبكِ.,Please don't cry.
لا تبكِ من فضلك.,Please don't cry.
آلن شاعر.,Allen is a poet.
آلن شاعر.,Alan is a poet.
لست المذنب ، حضرة المفتش!,"It wasn't me, commissioner!"
ولم يساعدك أحد؟,And nobody helped you?
أنت ملاك!,You're an angel!
يا لك من ملاك!,You're an angel!
هل اشتقت إليّ؟,Did you miss me?
هل اشتقت لي؟,Did you miss me?
هل افتقدتني؟,Did you miss me?
أجني مئة يورو في اليوم.,I make €100 a day.
ليس أنا ، بل أنت!,No I'm not; you are!
لو سمحت ، أين البيض؟,"Where are the eggs, please?"
انظر ، هناك قرد بثلاث رؤوس!,"Hey, look, a three-headed monkey!"
إنها ذكية جداً ، أليس كذلك؟,"She's really smart, isn't she?"
قطّع، اغسل، ثم جفّف من فضلك.,"Cut, wash and dry, please."
إنك متعب ، أليس كذلك؟,"You are tired, aren't you?"
ألست متعباً؟,Are you not tired?
إنك تجهد نفسك بالعمل.,You work too hard.
أنت تجهد نفسك في عملك.,You work too hard.
هل تعرف الإجابة؟,You know the answer?
هل تعرف الإجابة؟,Do you know the answer?
أنت تعرف الإجابة، أليس كذلك؟,You know the answer?
أتسكن هنا؟,Do you live here?
هل تعيش هنا؟,Do you live here?
تبدو شاحباً للغاية.,You look very pale.
تبدو شاحب الوجه.,You look very pale.
رائحة فمك كريهة.,You have foul breath.
لقد تعدّيت حدودك.,You're going too far.
عليك أن تتحكم بنزواتك.,You must control yourself.
عليك أن تُحكم السيطرة على نفسك.,You must control yourself.
شعرك يحتاج إلى الحلق.,Your hair wants cutting.
تتحاج إلى أن تحلق شعرك.,Your hair wants cutting.
تبدو مسروراً اليوم.,You look happy today.
تبدو سعيداً هذا اليوم.,You look happy today.
تبدو شاحباً اليوم.,You look pale today.
من الأفضل لك أن تذهب.,You had better go.
من الأفضل لك الذهاب.,You had better go.
عليك أن تذهب.,You have to go.
عليك الرحيل.,You have to go.
عليك أن ترحل.,You have to go.
أفترض أنك جائع.,I suppose you're hungry.
أعتقد أنك جوعان.,I suppose you're hungry.
لقد خالفت القوانين.,You broke the rule.
يمكنك الذهاب إلى أين تشاء.,You may go anywhere.
يمكنك أن تذهب إلى أي مكان تريد.,You may go anywhere.
بإمكانك الذهاب إلى أيما مكان شئت.,You may go anywhere.
ماذا تتعلم؟,What do you learn?
لقد خالفت القانون.,You broke the rule.
ما الذي أيقظك؟,What woke you up?
ماذا تُفضّل؟,What do you like?
أتحب الموسيقى؟,Do you love music?
أتحب الموسيقى؟,Do you like music?
هل لديك أي أقلام رصاص؟,Do you have any pencils?
هل تدرس اللغة الإنكليزية؟,Do you study English?
أتدرس اللغة الإنجليزية؟,Do you study English?
أتدرس الإنجليزية؟,Do you study English?
تستطيع السباحة، أليس كذلك؟,"You can swim, can't you?"
لا يمكنك السباحة، صحيح؟,"You can't swim, can you?"
لا يمكنك أن تسبح، أليس كذلك؟,"You can't swim, can you?"
ليس لديك أي حُمّى.,You have no fever.
عليك أن تدرس أكثر.,You must study more.
عليك أن تدرس بجهد أكثر من ذلك.,You should study harder.
أتستطيع تحدث الفرنسية؟,Can you speak French?
أيمكنك أن تتكلم اللغة الفرنسية؟,Can you speak French?
ما أطولك!,How tall you are!
ما أطول عودك!,How tall you are!
ما أطيب قلبك!,How kind you are!
يا لوقاحتك!,How rude of you!
يا لك من وقح!,How rude of you!
يا لك من محظوظ!,How lucky you are!
أتريد شيئاً؟,Do you want anything?
كم طولك؟,How tall are you?
أنت شجاع جداً.,You are very brave.
إنك شجاع للغاية.,You are very brave.
يبدو عليك التعب.,You look very tired.
تبدو مجهداً.,You look very tired.
أيّاً تأخذ؟,Which one do you take?
لديك الكثير من الكتب.,You have many books.
